Version,Build,SHA-256,SHA-1
10.12.5,16F73,dae2d71921a737d41df8f00379b7c04653bd35ed8db0f38313f8d86eb7f39f88,51df126965433187403987c9d74d95c26cba9266
10.12.6,16G29,d93efaaaa9d029b52ac1985043fabf0e6c8d5015841e7338f96ed9e162538b2c,b53c36706eef6e0e15c1f76ef51d1b552705fc75
10.13.2,17C88,a016570e65a70e23462efdddd845d3a1a5a7cc39aa770a0052af16e3d5f2ac4f,49e336085247331ea6033ebd3598a827caa6596e
10.13.3,17D47,438fc19055e56ac90fb485796d3aacc4059d241d79bc5c303220c4c2468a1f9d,726c7516fdbe33ae3f2384ba1ce7efcda4335776
10.13.4,17E199,fd33bb6f8a4132c2ba50808c0e1f92eb05b6c300d38e58287d5d7dec01a4cd65,2c72b22a45ea8f5a80bee91db8aba96dae8310ea
10.13.5,17F77,c4ff5048bafbf7f386cd6cb3b09b58112df607a526874c726d9b0c5ba2e61a4f,216b38acfb234b4e29c2dba41fd76814550b59e2
10.13.6,17G65,e3de527616e5a0bc6c2120960b55b458d49822900b09fd8d4884479efdce1c65,69159caf25666ea1c5d466e158e075d947f6a9ee
10.13.6,17G2208,82489dfce5025a6ee4725f194ec014d2f962e8ab2ea7c15032b5b1ea02e76598,686d5b9e2797b9604e5f2c9eaf3e2dbb839a66da
10.14,18A391,cdf15a36a082af2da1cc3ac913a6facb78894a5311c69d51fdfce706b83d8692,d29afb53d32d350453356d6025c4cbb2fb123985
10.14.1,18B75,84989fd343e4eeb1013703565eb54f652f2f89d3305fa952d85879d94606619a,635fdcb4a9baee1885825e9067d104d7aa0b9c2f
10.14.2,18C54,25a6c7d467fb72fed170dce786202f24c0120045c358902a19be8d3e106fe1a4,da00f1ccb5e0927ae4550fd8399160cc5f3a9b47
10.14.3,18D109,cbf25956bb89860d01edfb1550b9a09f58d8c4c4fea6eaf64a16dd93236a437d,51493681f3e82bb78e22e97f38725ffc67f611cd
10.14.4,18E226,b5b52ebf55fee7b5997b288255453f28f506421250485d37cf907f82950f85e8,458ea61e228defda08c0fe9dcd925db2e73e54f0
10.14.4,18E227,8b51a1695152fe61b0c3ba72fe91123c7c7cafda465e4b988d55fc291d6e5069,2f37bc2ea1bd74baf42c9fa93b4518e155bae62e
10.14.5,18F132,96c324576490e012a4383f3410e5c53fc0ccbbd22356e577fc3fc59aae112910,29e5d1a30a1259b9ff849111fb0d6588937c629d
10.14.6,18G84,c4f1c01c50e819f231f9a54d567672d3da162c4b9dc21c8c7719ca4e679ecac8,892c930f496ceeb88708fa7507f27dc5a6f036d9
10.14.6,18G95,ffa3fcc7e08b6134dca9f481f15aabce3fd80159951551dccdcd29df1a59e777,df554c1a284e0655ef643258ff2dddb491dc86e6
10.15,19A583,4409a34604f4443993debccf855b0896e594dc1fa09ebf2d632a7787b0083436,2faf7d456ce292662a058cb571a520acabe81ce7
10.15,19A602,d62588185b524bc27902c6e0348fb36a9c071dc8e45df89caf9a45bc6731492d,65aed4389ce4a65d713affef388356d251d9eec3
10.15,19A603,572f8ccc909762f9bc75019fa9729eefc3e2f85834e082aea926b1c7931f729a,5ac1070e34ecc02f66beb03a77198dd0dc3d3377
10.15.3,19D76,54bb26608f2916ca73f3482e8f4d5a98fc875d479482293840ec1b7a111c70f6,6ac088372d0bf0286d24ce55d9f0eb14a81d91c3
10.15.5,19F96,833aa44561e9883f7a2e3b4861617c3d14905a6b612cc4352f9adbee49657c9f,18b35ba4b4a1bdefeccaddf50da749f6cb3b2ad5
10.15.6,19G2021,f4a4874fab03cab52cfd73135d53226c5c8b72fb58b798e61b951a88c69b5f0d,d9be22bfc3220c17cc024ef52a14216e157f42f2
